"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name","Ad set name"
2025-12-01,2025-12-31,CBO_HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V,active,31030,24868,1.247788,11.792459,470,1.889979,0.763925,12391,1115,650,422,232,162,6,,,40,9.148,41,conversions:offsite_conversion.fb_pixel_custom.generate_lead,8.92487805,365.92,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CBO_HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V,active,223883,155451,1.440216,6.68492,2332,1.500151,0.638771,62880,6152,3443,2386,1224,908,6,,,169,8.855858,169,conversions:offsite_conversion.fb_pixel_custom.generate_lead,8.85585799,1496.64,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,SUSY_-_Vuoi_guadagnare_senza_fare_niente,active,132571,97396,1.361154,3.481154,3549,3.643887,0.118364,40481,7608,5291,2972,1638,930,10,,,594,0.776936,323,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,1.42879257,461.5,15,Daily,2025-11-19,0,"Test LDP","M/F_25-45_ADV+:  SUSY_-_Vuoi_guadagnare_senza_fare_niente"
2025-12-01,2025-12-31,CENA_IN_FAMIGLIA,not_delivering,42023,28813,1.458474,9.907908,444,1.540971,0.76117,10150,3052,1522,893,473,440,4,,,31,13.430968,21,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,19.82666667,416.36,15,Daily,2025-11-19,0,"Test LDP","M/F_25-45_ADV+:  CENA IN FAMIGLIA"
2025-12-01,2025-12-31,PERSONE_NON_CREDONO,not_delivering,37703,21454,1.757388,11.110522,381,1.775893,1.002153,5627,1080,750,469,276,243,3,,,43,9.74186,18,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,23.27222222,418.9,15,Daily,2025-11-27,0,"Test LDP","M/F_25-45_ADV+: PERSONE_NON_CREDONO"
2025-12-01,2025-12-31,FORESTA,archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-27,0,"Test LDP","M/F_25-45_ADV+: FORESTA"
2025-12-01,2025-12-31,FORESTA_2,active,41832,23871,1.752419,9.986852,474,1.985673,0.643713,8386,4488,2642,1105,677,617,5,,,17,24.574706,9,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,46.41888889,417.77,15,Daily,2025-12-03,2025-12-03T23:38:19+0100,"Test LDP","M/F_25-45_ADV+:  FORESTA 2"
2025-12-01,2025-12-31,ALESSIA_URLA_A_LUCA,active,33508,21106,1.587605,8.949803,218,1.032882,1.309563,6835,828,441,251,152,136,5,,,11,27.262727,10,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,29.989,299.89,15,Daily,2025-12-11,0,"Test LDP","M/F_25-45_ADV+: ALESSIA URLA A LUCA"
2025-12-01,2025-12-31,Angelo_nonna_1,active,5795,5125,1.130732,4.874892,46,0.897561,0.576531,1666,366,186,125,50,48,7,,,5,5.65,2,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.125,28.25,15,Daily,2025-12-29,2025-12-29T23:47:17+0100,"Test LDP","M/F_25-45_ADV+:  Angelo_nonna_1"
2025-12-01,2025-12-31,Angelo_nonna_2,active,6225,5443,1.143671,4.567068,53,0.973728,0.526481,1781,374,197,127,51,47,7,,,2,14.215,1,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,28.43,28.43,15,Daily,2025-12-29,2025-12-29T23:47:16+0100,"Test LDP","M/F_25-45_ADV+:  Angelo_nonna_2"
2025-12-01,2025-12-31,RET_VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW,active,684,669,1.022422,4.298246,3,0.44843,0.98,186,23,14,12,5,3,5,,,,,,,,2.94,"Using campaign budget",0,2025-12-30,2025-12-30T00:07:12+0100,"RET | CBO > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,"RET_HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW",active,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using campaign budget",0,2025-12-30,2025-12-30T00:07:12+0100,"RET | CBO > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,RET_Video_ad_educational,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using campaign budget",0,2025-12-30,2025-12-30T00:07:12+0100,"RET | CBO > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,"SUSY_-_Vuoi_guadagnare_senza_fare_niente - Copy",active,3833,3558,1.077291,4.761284,77,2.164137,0.231013,1100,192,130,82,47,34,9,,,11,1.659091,11,conversions:offsite_conversion.fb_pixel_custom.generate_lead,1.65909091,18.25,"Using campaign budget",0,2025-12-30,2025-12-30T00:07:12+0100,"RET | CBO > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,SUSY_arrivare_a_fine_mese,active,5247,4619,1.13596,5.363065,61,1.320632,0.461311,1266,247,139,76,64,53,7,,,8,3.5175,5,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,5.628,28.14,15,Daily,2025-12-30,2025-12-30T00:21:56+0100,"Test LDP","M/F_25-45_ADV+:  SUSY_arrivare_a_fine_mese"
2025-12-01,2025-12-31,SUSY_dentista,active,6273,5762,1.088684,4.602264,58,1.006595,0.481167,1441,377,208,98,54,43,7,,,4,7.2175,2,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.435,28.87,15,Daily,2025-12-30,2025-12-30T00:21:56+0100,"Test LDP","M/F_25-45_ADV+:  SUSY_dentista"
2025-12-01,2025-12-31,HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE_H2_NEW,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-20,2025-10-20T14:01:17+0200,"Test LDP","M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE - Copy"
2025-12-01,2025-12-31,VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_NEW,active,178346,123037,1.449531,5.174773,1316,1.069597,0.680605,36465,3152,1635,1354,732,410,5,,,65,14.198462,41,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,22.5097561,922.9,30,Daily,2025-10-20,2025-10-20T14:01:18+0200,"Test LDP","M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N - Copy"
2025-12-01,2025-12-31,HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1_NEW,active,99458,65738,1.512945,4.636832,964,1.466427,0.455702,22558,4542,1509,830,464,364,5,,,97,4.75433,65,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,7.09492308,461.17,15,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP","M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1 - Copy"
2025-12-01,2025-12-31,HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V_NEW,not_delivering,93331,71540,1.304599,4.638973,607,0.848476,0.69496,25112,2255,1154,775,371,272,5,,,47,9.211915,35,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,12.37028571,432.96,15,Daily,2025-10-20,2025-11-10T03:28:15+0100,"Test LDP","M/F_25-45_ADV+:  HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V"
2025-12-01,2025-12-31,"HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW",active,150429,95895,1.568685,8.173092,1516,1.580896,0.795259,46219,3505,1960,1253,633,447,5,,,149,8.251477,96,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,12.80697917,1229.47,40,Daily,2025-10-20,2025-10-20T14:01:27+0200,"Test LDP","M/F_25-45_ADV+: HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V - Copy"
2025-12-01,2025-12-31,VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW,active,215158,170259,1.26371,4.292473,1619,0.950904,0.539463,51682,8979,4493,3015,1506,1288,5,,,122,7.570164,87,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,10.61563218,923.56,30,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP","M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N - Copy"
2025-12-01,2025-12-31,Video_ad_educational,active,92677,60045,1.543459,4.981495,389,0.647847,1.123285,18751,3805,1720,1184,715,589,4,,,45,10.259333,29,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.91965517,461.67,15,Daily,2025-10-20,2025-11-17T21:09:52+0100,"Test LDP","M/F_25-45_ADV+: Video_ad_educational - Copy"
2025-12-01,2025-12-31,BOX_DOMANDE_bis_new,active,81805,44102,1.854905,11.275594,1073,2.432996,0.635262,16154,5948,3148,1124,811,757,4,,,77,11.979221,57,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.18245614,922.4,30,Daily,2025-10-20,2025-10-20T14:03:14+0200,"Test LDP","M/F_25-45_ADV+:  BOX_DOMANDE - Copia  pixel"
2025-12-01,2025-12-31,Video_ad_educational_CON_COMMENTI,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-29,2025-10-29T22:06:13+0100,"Test LDP","M/F_25-45_ADV+: Video_ad_educational - CON COMMENTI"
2025-12-01,2025-12-31,"Video lungo 1",active,361079,132910,2.716718,1.574475,2,0.001505,284.255,224592,739,444,277,215,186,12,,,,,49152,video_thruplay_watched_actions,0.01156637,568.51,5,Daily,2025-10-31,2025-12-28T22:15:09+0100,"RET | video lungo","50% ads view 90 days"
2025-12-01,2025-12-31,"Video lungo F",active,350641,158828,2.207677,1.618864,1,0.00063,567.64,224628,410,204,162,124,115,12,,,,,48574,video_thruplay_watched_actions,0.01168609,567.64,5,Daily,2025-11-05,2025-12-28T22:15:05+0100,"RET | video lungo - F","50% ads view 90 days"
2025-12-01,2025-12-31,ad_1,not_delivering,3617,2838,1.274489,14.506497,27,0.951374,1.943333,583,45,20,14,10,10,3,,,1,52.47,,,,52.47,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_1"
2025-12-01,2025-12-31,ad_situazione_particolare,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_situazione_particolare"
2025-12-01,2025-12-31,ad_2,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_2"
2025-12-01,2025-12-31,ad_5,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_5"
2025-12-01,2025-12-31,ad_3,active,67996,47058,1.44494,6.795988,451,0.958392,0.989507,12033,1086,654,404,236,182,4,,,56,8.251786,31,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.90645161,462.1,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_3"
2025-12-01,2025-12-31,ad_7,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_7"
2025-12-01,2025-12-31,ad_4,active,44687,26416,1.691664,10.354689,280,1.059964,1.532185,5734,530,285,196,116,106,3,,,46,10.05913,25,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,18.5088,462.72,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_4"
2025-12-01,2025-12-31,ad_6,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_6"
