"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name","Ad set name"
2025-12-08,2025-12-14,CBO_VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N,active,177317,154975,1.144165,5.679376,1815,1.171157,0.547012,45483,7908,4073,2774,1424,1185,5,,,146,6.897603,146,conversions:offsite_conversion.fb_pixel_custom.generate_lead,6.89760274,1007.05,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CBO_HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V,active,636,572,1.111888,9.18239,5,0.874126,1.168,164,9,5,3,1,1,3,,,1,5.84,1,conversions:offsite_conversion.fb_pixel_custom.generate_lead,5.84,5.84,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CBO_HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V,active,56726,47639,1.190747,6.530163,588,1.234283,0.624671,15630,1580,903,622,314,227,6,,,49,7.559796,51,conversions:offsite_conversion.fb_pixel_custom.generate_lead,7.26333333,370.43,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,SUSY_-_Vuoi_guadagnare_senza_fare_niente,active,30825,27569,1.118104,3.435848,813,2.948964,0.118071,8697,1754,1258,697,390,188,11,,,146,0.725411,78,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,1.35782051,105.91,15,Daily,2025-11-19,0,"Test LDP","M/F_25-45_ADV+:  SUSY_-_Vuoi_guadagnare_senza_fare_niente"
2025-12-08,2025-12-14,CENA_IN_FAMIGLIA,active,10163,7867,1.291852,10.30798,107,1.360112,0.844839,2142,590,276,176,82,72,3,,,7,14.965714,5,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,20.952,104.76,15,Daily,2025-11-19,0,"Test LDP","M/F_25-45_ADV+:  CENA IN FAMIGLIA"
2025-12-08,2025-12-14,PERSONE_NON_CREDONO,active,8436,6242,1.35149,12.449028,90,1.441846,1.071633,1263,242,168,110,61,48,3,,,13,8.078462,3,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,35.00666667,105.02,15,Daily,2025-11-27,0,"Test LDP","M/F_25-45_ADV+: PERSONE_NON_CREDONO"
2025-12-08,2025-12-14,FORESTA,archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-27,0,"Test LDP","M/F_25-45_ADV+: FORESTA"
2025-12-08,2025-12-14,FORESTA_2,active,8712,5625,1.5488,12.246327,122,2.168889,0.711267,1840,998,585,230,146,129,5,,,8,13.33625,4,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,26.6725,106.69,15,Daily,2025-12-03,2025-12-03T23:38:19+0100,"Test LDP","M/F_25-45_ADV+:  FORESTA 2"
2025-12-08,2025-12-14,ALESSIA_URLA_A_LUCA,active,5559,4370,1.272082,8.285663,40,0.915332,1.096667,1139,144,71,47,33,28,4,,,3,15.353333,3,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.35333333,46.06,15,Daily,2025-12-11,0,"Test LDP","M/F_25-45_ADV+: ALESSIA URLA A LUCA"
2025-12-08,2025-12-14,HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE_H2_NEW,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-20,2025-10-20T14:01:17+0200,"Test LDP","M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE - Copy"
2025-12-08,2025-12-14,VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_NEW,active,46301,39150,1.182656,4.557785,336,0.858238,0.606408,8890,787,434,362,189,69,4,,,12,17.585833,6,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,35.17166667,211.03,30,Daily,2025-10-20,2025-10-20T14:01:18+0200,"Test LDP","M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N - Copy"
2025-12-08,2025-12-14,HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1_NEW,active,22180,18183,1.219821,4.762399,237,1.303415,0.434691,4647,1011,321,169,104,78,5,,,28,3.7725,18,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,5.86833333,105.63,15,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP","M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1 - Copy"
2025-12-08,2025-12-14,HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V_NEW,active,24473,21393,1.143972,4.32354,153,0.715187,0.673949,6688,599,300,201,94,67,5,,,10,10.581,11,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.61909091,105.81,15,Daily,2025-10-20,2025-11-10T03:28:15+0100,"Test LDP","M/F_25-45_ADV+:  HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V"
2025-12-08,2025-12-14,"HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW",active,32403,26921,1.203633,8.714934,316,1.173805,0.855727,10014,769,427,278,148,110,5,,,34,8.305588,20,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.1195,282.39,40,Daily,2025-10-20,2025-10-20T14:01:27+0200,"Test LDP","M/F_25-45_ADV+: HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V - Copy"
2025-12-08,2025-12-14,VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW,active,50486,46279,1.090905,4.192449,425,0.918343,0.486575,11407,2108,1061,701,335,296,4,,,33,6.413939,22,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.62090909,211.66,30,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP","M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N - Copy"
2025-12-08,2025-12-14,Video_ad_educational,active,21215,18361,1.155438,5.012491,111,0.604542,0.941062,4316,883,421,301,187,150,4,,,17,6.255294,11,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.66727273,106.34,15,Daily,2025-10-20,2025-11-17T21:09:52+0100,"Test LDP","M/F_25-45_ADV+: Video_ad_educational - Copy"
2025-12-08,2025-12-14,BOX_DOMANDE_bis_new,active,18259,12499,1.460837,11.547182,186,1.488119,1.048955,3151,886,458,187,140,126,3,,,16,13.1775,10,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,21.084,210.84,30,Daily,2025-10-20,2025-10-20T14:03:14+0200,"Test LDP","M/F_25-45_ADV+:  BOX_DOMANDE - Copia  pixel"
2025-12-08,2025-12-14,Video_ad_educational_CON_COMMENTI,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-29,2025-10-29T22:06:13+0100,"Test LDP","M/F_25-45_ADV+: Video_ad_educational - CON COMMENTI"
2025-12-08,2025-12-14,"Video lungo 1",active,78993,50544,1.562856,1.783956,,0,,51486,197,122,70,53,44,13,,,,,11866,video_thruplay_watched_actions,0.01187595,140.92,20,Daily,2025-10-31,2025-11-08T17:09:52+0100,"RET | video lungo","50% ads view 90 days"
2025-12-08,2025-12-14,"Video lungo F",active,71927,50550,1.422888,1.959904,1,0.001978,140.97,48166,95,50,39,33,35,13,,,,,11387,video_thruplay_watched_actions,0.01237991,140.97,20,Daily,2025-11-05,2025-11-08T17:09:48+0100,"RET | video lungo - F","50% ads view 90 days"
